title,review,rating,role,date,company
"""Mission driven - feel so motivated ""","Great culture 
Low politics
Every one is smart and supportive WL balance is meh 🫤 
But I don’t care about WLB so much",5.0,Engineer Associate,March 12 2026,anthropic
"""Cool place to work""","Compensation & benefits are fantastic, a lot of very smart colleagues with low egos, good culture Not letting WLB escape you can be hard. There’s so much to do and it seldom fits into the confines of a 40 hr work week. Even though the company encourages WLB, it’s hard when you feel like you have to constantly grind to keep up with the high 
volumes",5.0,Finance,January 30 2026,anthropic
"""Best company I’ve ever worked at""",Culture values integrity and entrepreneurial spirit. You are valued by your contributions above all else. Lack of consistent product vision results in waste across the org or projects getting killed down the line. But it’s worth it to enable the culture of innovation.,5.0,"Software Engineer, Applications",January 3 2026,anthropic
"""Very fast and chaotic but people are valued.""","On the forefront; transparency from Dario and Daniela.  Culture and values are so focused on that we generally hire people who want to help each other (low ego and high humility).  People are there for the mission and not themselves which is very rare in tech. Chaotic - trying to do everything all at once so many conflicting priorities.
Some leaders need to get a backbone to say no and manage out under performing people.",5.0,Recruiter,December 21 2025,anthropic
"""wouldn’t work anywhere else""","really good internal culture for its size, amazing people, very cool problems. will probably be my last job. big company now. more politics and processes. culture has degraded a lil bit but still excellent. we also don’t pay that great outside ml roles.",5.0,Research Engineer,December 18 2025,anthropic
"""it’s fine""","Great comp, smart people, interesting work, at forefront of ai revolution, mission driven strange culture unlike anything I’ve ever seen, unclear who thrives here",4.0,Product Manager,December 14 2025,anthropic
"""Problems as we scale, but 3 years in and still the best place I’ve worked""","- Incredible autonomy to do the work you feel is most important
- mission alignment is a real thing. If you’ve never worked at a company driving toward an outcome bigger than “making money,” then I don’t think you’d really understand what this means or feels like, but it’s probably why retention is so high. 
- high trust in colleagues and founders. The founders make principled decisions. I trust them more than any other company leadership I’ve had in the past.  I think DDJ do a good job stress testing and pushing back on each other to come to a decision - Some teams have scope creep, some teams don’t have clear deliverables, some teams don’t really make sense at all 
- has become more political overtime, but I don’t know if that’s avoidable 
-some of the executives seem unqualified for their roles mostly because they’ve never done this before and/or don’t seem to know what they’re doing",5.0,"Engineer, Senior",December 12 2025,anthropic
"""fast paced and chaotic but lots of fun""","- smart people
- high impact
- little politics
- people just want to build things - intense
- very high expectations from everyone
- can be stressful if you don’t know how to manage boundaries",5.0,Technical Staff,November 23 2025,anthropic
"""Great place to be ""","Love working here, don’t envision leaving anytime soon and am excited about the future! Do not come here if you want to coast, it is a ton of work.",5.0,Technical Staff,October 10 2025,anthropic
"""once in a lifetime opportunity""","talent density across the company is great. awesome autonomy/trust. access to work worth doing. not individualistic at all sometimes a bit of a hive mind, can be contrarian / abrasive at times. wl balance difficulty is real but manageable",5.0,Software Engineer,October 7 2025,anthropic
"""Fantastic company""",Good perks great food love the CEO! High potential in equity Work life balance can be not great if you’re on the wrong projects,5.0,Software Developer,September 26 2025,anthropic
"""Good and intense""","Unique culture, openness, true belief in the mission, good people. Intense and requires a lot of self direction.  Lots to learn",5.0,Machine Learning Engineer,September 15 2025,anthropic
"""Amazing but quirky place to work""","Smart and kind coworkers. 
Immense transparency and honesty from company leaders. 
High trust workplace. Refresh policy is very not good given the current valuation. 

Work pace can be overwhelming, but you learn a lot.",5.0,Operations Analyst,September 12 2025,anthropic
"""Things are changing""","The company provides office meals for breakfast lunch and dinner as well as massages Teams are growing and scaling but we’ve seem to lost company culture and good talent. Lots of work politics with strong opinionated members that claim credibility due to their prior work roles and titles. No clear guidance from senior management and we’re constantly rushing projects to scrap.
Comp sounded great but no one gets rewarded past their initial package with no transparency on leveling and adjustments.",2.0,Technical Staff,September 11 2025,anthropic
"""Probably the best company to work for rn""","Fighting the good fight
Consistent and thoughtful leadership treating people like adults
Hard and fun problems to solve
Great comp+perks Hypergrowth is hard
AI is battle royale
Some people seem to be here just for the money",5.0,Research and Development,August 23 2025,anthropic
"""Generational company""","Product advantage unlike anything Ive seen in my 20 YOE of GTM It’s fair to say that the pace, complexity and bar will be difficult for many… but worth it if you can keep up.",5.0,Sales,August 18 2025,anthropic
